No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
157,CANDELS J033233.18-274720.0,03h32m33.1845s,-27d47m20.108s,53.138269,-27.788919,2.72312277,816371.668654069,SLS,G,"IR,Vis",19,0,63,7,11,0,0,0,5,0
158,CANDELS J033233.42-274841.7,03h32m33.4280s,-27d48m41.660s,53.13928333333,-27.81157222222,0.932184,279461.732668272,PUN,GGroup,"IR,Vis",14,0,29,7,10,0,0,0,5,0
159,ACS-GC 90042890,03h32m33.4350s,-27d46m50.360s,53.1393125,-27.78065555556,0.73439592,220166.358001971,SLS,G,"IR,Vis",31,0,87,17,25,0,0,0,5,0
160,CANDELS J033233.45-274712.4,03h32m33.4490s,-27d47m12.420s,53.13937083333,-27.78678333333,1.296675,388733.38547715,SUN,G,"IR,Vis",34,0,129,17,24,0,0,0,5,0
161,CANDELS J033233.45-274739.5,03h32m33.4680s,-27d47m39.730s,53.13945,-27.79436944444,1.288,386132.685904,PUN,G,Vis,13,0,35,4,7,0,0,0,5,0
162,CANDELS J033233.74-274744.2,03h32m33.7350s,-27d47m44.150s,53.1405625,-27.79559722222,1.90955,572468.6881739,SUN,G,"IR,Vis",26,0,65,8,12,0,0,0,5,0
163,CANDELS J033233.77-274814.3,03h32m33.7800s,-27d48m14.350s,53.14075,-27.80398611111,2.61559148,784134.598913058,SLS,G,"IR,Vis",24,0,53,15,18,0,0,0,5,0
164,GMASS 0453,03h32m33.8290s,-27d47m47.990s,53.14095416667,-27.79666388889,0.34342654,102956.686569035,SLS,G,"IR,Vis",36,0,106,15,19,0,0,0,5,0
165,CANDELS J033233.91-274617.0,03h32m33.9010s,-27d46m16.840s,53.14125416667,-27.77134444444,1.446233,433569.745910714,S1L,G,"Vis,Xray",24,0,50,11,17,0,0,0,5,0
166,CANDELS J033233.98-274814.6,03h32m33.9730s,-27d48m14.690s,53.14155416667,-27.80408055556,1.38190018,414283.251672842,SLS,G,"IR,Vis,Xray",31,0,67,16,24,0,0,0,5,0
167,CANDELS J033233.99-274820.8,03h32m33.9820s,-27d48m20.690s,53.14159166667,-27.80574722222,3.46939685,1040099.00943896,SLS,G,"IR,Vis",21,0,55,11,12,0,0,0,5,0
168,CANDELS J033234.06-274741.1,03h32m34.0700s,-27d47m41.430s,53.14195833333,-27.79484166667,0.66796848,200251.912485724,SLS,G,"IR,Vis",19,0,76,7,11,0,0,0,5,0
169,CANDELS J033234.08-274750.6,03h32m34.0780s,-27d47m50.810s,53.14199166667,-27.79744722222,3.970881,1190440.1754155,S1L,G,"IR,Vis",26,0,65,13,14,0,0,0,5,0
170,CANDELS J033234.13-274743.4,03h32m34.1220s,-27d47m43.430s,53.142175,-27.79539722222,2.02,605580.76516,SUN,G,"IR,Vis",23,0,70,7,12,0,0,0,5,0
171,CANDELS J033234.15-274703.7,03h32m34.1630s,-27d47m03.740s,53.14234583333,-27.78437222222,2.949544,884251.045739152,S1L,G,"IR,Vis",20,0,64,10,13,0,0,0,5,0
172,CANDELS J033234.18-274803.2,03h32m34.1880s,-27d48m03.020s,53.14245,-27.80083888889,1.38188949,414280.046891466,SLS,G,Vis,19,0,48,8,12,0,0,0,5,0
173,CANDELS J033234.26-274724.0,03h32m34.2350s,-27d47m23.920s,53.14264583333,-27.78997777778,1.09809297,329199.99058882,SLS,G,"IR,Vis",23,0,84,10,13,0,0,0,5,0
174,CANDELS J033234.27-274647.7,03h32m34.2850s,-27d46m47.670s,53.14285416667,-27.77990833333,0.8127442,243654.581443244,SLS,G,"IR,Vis",24,0,91,12,17,0,0,0,5,0
175,CANDELS J033234.34-274855.7,03h32m34.3553s,-27d48m55.807s,53.14314708333,-27.81550194444,4.1449,1242609.7591642,SLS,GPair,"IR,Vis",34,0,116,18,22,0,0,0,5,0
176,CANDELS J033234.37-274616.5,03h32m34.3750s,-27d46m16.470s,53.14322916667,-27.77124166667,0.62258291,186645.660897693,SLS,G,"IR,Vis",21,0,78,13,14,0,0,0,5,0
177,VUDS 0530043097,03h32m34.4590s,-27d47m20.960s,53.14357916667,-27.78915555556,0.667262,200040.115109996,SUN,G,"IR,Vis",28,0,96,13,19,0,0,0,5,0
178,CANDELS J033234.54-274647.0,03h32m34.5390s,-27d46m46.960s,53.1439125,-27.77971111111,1.72,515643.02776,SLS,G,"IR,Vis",21,0,74,8,12,0,0,0,5,0
179,CANDELS J033234.60-274624.7,03h32m34.5960s,-27d46m24.850s,53.14415,-27.77356944444,1.905858,571361.854418964,SUN,G,"IR,Vis",28,0,90,18,22,0,0,0,5,0
180,CANDELS J033234.61-274608.6,03h32m34.6150s,-27d46m08.630s,53.14422916667,-27.76906388889,1.0534,315801.3752572,PUN,G,"IR,Vis",17,0,51,6,10,0,0,0,5,0
181,CANDELS J033234.62-274637.8,03h32m34.6190s,-27d46m37.810s,53.14424583333,-27.77716944444,1.09968386,329676.927412328,SLS,G,"IR,Vis",23,0,56,14,19,0,0,0,5,0
182,CANDELS J033234.67-274727.9,03h32m34.6610s,-27d47m28.000s,53.14442083333,-27.79111111111,1.4367544,430728.133118315,SLS,G,"IR,Vis",32,0,115,16,26,0,0,0,5,0
183,CANDELS J033234.67-274644.5,03h32m34.6750s,-27d46m44.410s,53.14447916667,-27.77900277778,1.55198982,465274.842928778,SLS,G,"IR,Vis",28,0,80,11,19,0,0,0,5,0
184,CANDELS J033234.67-274725.2,03h32m34.6830s,-27d47m25.270s,53.1445125,-27.79035277778,2.44409165,732720.243330776,SLS,G,"IR,Vis",19,0,64,8,10,0,0,0,5,0
185,CANDELS J033234.71-274616.0,03h32m34.7160s,-27d46m15.980s,53.14465,-27.77110555556,3.127611,937634.189357838,SUN,G,"IR,Vis",25,0,77,15,21,0,0,0,5,0
186,GALEX J033234-274707,03h32m34.7240s,-27d47m07.610s,53.14468333333,-27.78544722222,0.24727658,74131.6537240336,SLS,G,"IR,UV,Vis,Xray",39,0,116,20,27,0,0,0,5,0
187,CANDELS J033234.75-274642.7,03h32m34.7620s,-27d46m42.650s,53.14484166667,-27.77851388889,1.41310752,423638.976839084,SLS,G,Vis,18,0,44,9,12,0,0,0,5,0
188,CANDELS J033234.78-274609.5,03h32m34.7640s,-27d46m09.350s,53.14485,-27.76926388889,0.73618523,220702.779644995,SLS,G,"IR,Vis",16,0,43,8,9,0,0,0,5,0
189,CANDELS J033234.80-274724.1,03h32m34.7800s,-27d47m24.240s,53.14491666667,-27.79006666667,0.983048,294710.376251984,PUN,G,"IR,Vis",23,0,78,9,13,0,0,0,5,0
190,COMBO-17 35538,03h32m34.7920s,-27d46m50.600s,53.14496666667,-27.78072222222,0.516,154692.908328,PUN,G,Vis,13,0,54,2,7,0,0,0,5,0
191,CANDELS J033234.81-274743.4,03h32m34.8120s,-27d47m43.340s,53.14505,-27.79537222222,2.490871,746744.339650918,SUN,G,"IR,Vis",20,0,65,10,13,0,0,0,5,0
192,CANDELS J033234.82-274835.4,03h32m34.8140s,-27d48m35.540s,53.14505833333,-27.80987222222,1.245,373241.61021,UUN,G,"IR,Vis",32,0,97,14,21,0,0,0,5,0
193,CANDELS J033234.81-274721.9,03h32m34.8170s,-27d47m21.950s,53.14507083333,-27.78943055556,1.3158653,394486.492683907,SLS,G,"IR,Vis",42,0,113,17,26,0,0,0,5,0
194,ACS-GC 90044561,03h32m34.8490s,-27d46m40.500s,53.14520416667,-27.77791666667,1.09824121,329244.431822794,SLS,G,"IR,Radio,Vis",58,0,122,28,40,0,0,0,5,0
195,CANDELS J033234.86-274730.7,03h32m34.8600s,-27d47m30.760s,53.14525,-27.79187777778,1.31583822,394478.374304145,SLS,G,"IR,Vis",27,0,101,13,19,0,0,0,5,0
196,CANDELS J033234.90-274600.2,03h32m34.9070s,-27d46m00.320s,53.14544583333,-27.76675555556,1.26549254,379385.119147263,SLS,G,"IR,Vis",16,0,43,11,12,0,0,0,5,0
197,CANDELS J033234.95-274624.3,03h32m34.9600s,-27d46m24.270s,53.14566666667,-27.77340833333,0.46837912,140416.527660677,SLS,G,"IR,Vis",20,0,58,11,15,0,0,0,5,0
198,CANDELS J033235.02-274830.7,03h32m35.0170s,-27d48m30.780s,53.14590416667,-27.80855,1.24561128,373424.867343726,SLS,G,"IR,Vis",21,0,83,11,15,0,0,0,5,0
199,GMASS 0307,03h32m35.0400s,-27d48m23.110s,53.146,-27.80641944444,2.806278,841300.979451324,SUN,G,"IR,Vis",26,0,58,14,19,0,0,0,5,0
200,EIS J033235.07-274844.5,03h32m35.0490s,-27d48m44.350s,53.1460375,-27.81231944444,0.8246326564692,247218.651029971,SLS,*,"IR,Vis",24,0,92,8,5,0,0,0,5,0
201,CANDELS J033235.06-274658.7,03h32m35.0600s,-27d46m58.740s,53.14608333333,-27.78298333333,1.42602692,427512.115520969,SLS,G,"IR,Vis",24,0,79,13,16,0,0,0,5,0
202,CANDELS J033235.05-274559.6,03h32m35.0690s,-27d45m59.590s,53.14612083333,-27.76655277778,0.95308161,285726.678536497,SLS,G,"IR,Vis",24,0,67,13,20,0,0,0,5,0
203,CANDELS J033235.08-274615.7,03h32m35.0850s,-27d46m15.770s,53.1461875,-27.77104722222,1.31552547,394384.614212905,SLS,G,"IR,Vis",33,0,92,18,25,0,0,0,5,0
204,CANDELS J033235.12-274612.2,03h32m35.1260s,-27d46m12.270s,53.14635833333,-27.770075,0.57722406,173047.419764139,SLS,G,"IR,Vis",18,0,42,9,12,0,0,0,5,0
205,CANDELS J033235.14-274641.9,03h32m35.1430s,-27d46m41.880s,53.14642916667,-27.7783,1.86613713,559453.837167765,SLS,G,"IR,Vis",20,0,66,10,16,0,0,0,5,0
206,CANDELS J033235.18-274639.0,03h32m35.1780s,-27d46m39.050s,53.146575,-27.77751388889,1.08663704,325765.589175444,SLS,G,"IR,Vis",24,0,78,14,19,0,0,0,5,0
207,CANDELS J033235.25-274654.3,03h32m35.2500s,-27d46m54.360s,53.146875,-27.78176666667,1.38240458,414434.466988658,SLS,G,"IR,Vis",26,0,67,13,19,0,0,0,5,0
208,CANDELS J033235.26-274900.8,03h32m35.2680s,-27d49m00.740s,53.14695,-27.81687222222,0.34,101929.43572,PUN,GGroup,"IR,Vis",12,0,31,4,6,0,0,0,5,0
209,ACS-GC 90045116,03h32m35.2950s,-27d46m42.310s,53.1470625,-27.77841944444,1.08634358,325677.61208072,SLS,G,"IR,Vis",31,0,108,14,19,0,0,0,5,0
210,ACS-GC 90043931,03h32m35.3170s,-27d47m18.570s,53.14715416667,-27.78849166667,0.66721647,200026.465559383,SLS,G,"IR,Vis",40,0,109,20,26,0,0,0,5,0
211,CANDELS J033235.33-274617.2,03h32m35.3290s,-27d46m17.370s,53.14720416667,-27.77149166667,0.37548862,112568.656340828,SLS,*,"IR,Vis",22,0,64,8,13,0,0,0,5,0
212,CANDELS J033235.34-274803.0,03h32m35.3350s,-27d48m02.980s,53.14722916667,-27.80082777778,0.27988494,83907.3941197825,SLS,G,"IR,Vis",21,0,53,8,12,0,0,0,5,0
213,COMBO-17 31403,03h32m35.3470s,-27d48m54.190s,53.14727916667,-27.81505277778,0.407,122015.530406,PUN,G,Vis,9,0,29,2,4,0,0,0,5,0
214,COMBO-17 35930,03h32m35.3510s,-27d46m39.280s,53.14729583333,-27.77757777778,1.866085,559438.20898693,S1L,G,"IR,Vis",22,0,80,8,16,0,0,0,5,0
215,CANDELS J033235.38-274704.2,03h32m35.3720s,-27d47m04.220s,53.14738333333,-27.78450555556,0.97499642,292296.573293,SLS,G,"IR,Vis",24,0,80,13,15,0,0,0,5,0
216,VUDS 0530047704,03h32m35.3780s,-27d45m47.560s,53.14740833333,-27.76321111111,2.5943251895989,777759.12544117,SLS,G,"IR,Vis",12,0,42,5,9,0,0,0,5,0
217,CANDELS J033235.39-274904.4,03h32m35.3790s,-27d49m04.520s,53.1474125,-27.81792222222,0.98,293796.60884,PUN,G,Vis,8,0,26,4,4,0,0,0,5,0
218,CANDELS J033235.44-274814.3,03h32m35.4430s,-27d48m14.510s,53.14767916667,-27.80403055556,1.29242519,387459.324491217,SLS,G,"IR,Vis",20,0,69,12,12,0,0,0,5,0
219,CANDELS J033235.46-274637.0,03h32m35.4650s,-27d46m37.090s,53.14777083333,-27.77696944444,1.08671465,325788.85606811,SLS,G,"IR,Vis",39,0,109,18,26,0,0,0,5,0
220,CANDELS J033235.46-274556.2,03h32m35.4870s,-27d45m56.380s,53.1478625,-27.76566111111,2.31533446,694119.808855503,SLS,G,"IR,Vis",24,0,82,15,17,0,0,0,5,0
221,EIS J033235.52-274626.6,03h32m35.5040s,-27d46m26.300s,53.14793333333,-27.77397222222,1.08729423,325962.609780917,SLS,G,"IR,UV,Vis,Xray",39,0,108,14,22,0,0,0,5,0
222,CANDELS J033235.51-274753.8,03h32m35.5040s,-27d47m53.940s,53.14793333333,-27.79831666667,1.76591197,529407.090097922,SLS,G,"IR,Vis",19,0,72,8,12,0,0,0,5,0
223,CANDELS J033235.52-274628.8,03h32m35.5110s,-27d46m28.950s,53.1479625,-27.77470833333,0.77035453,230946.478080135,SLS,G,Vis,22,0,65,11,16,0,0,0,5,0
224,GMASS 0679,03h32m35.5200s,-27d47m15.650s,53.148,-27.78768055556,1.88260132,564389.677156845,SLS,G,"IR,Vis",32,0,104,19,24,0,0,0,5,0
225,CANDELS J033235.60-274911.6,03h32m35.5990s,-27d49m11.550s,53.14832916667,-27.819875,1.032,309385.816656,PUN,G,"IR,Vis",11,0,38,5,8,0,0,0,5,0
226,EIS J033235.64-274633.0,03h32m35.6110s,-27d46m32.790s,53.14837916667,-27.775775,0.5246736,157293.188191709,SLS,G,"IR,Vis",35,0,91,16,24,0,0,0,5,0
227,CANDELS J033235.64-274638.2,03h32m35.6390s,-27d46m38.270s,53.14849583333,-27.77729722222,3.580272,1073338.54318858,S1L,G,"IR,Vis",35,0,109,18,20,0,0,0,5,0
228,COMBO-17 35621,03h32m35.6400s,-27d46m48.150s,53.1485,-27.78004166667,3.373,1011199.960834,PUN,G,Vis,12,0,37,2,5,0,0,0,5,0
229,CANDELS J033235.67-274628.3,03h32m35.6750s,-27d46m28.470s,53.14864583333,-27.774575,2.961937,887966.373671146,SLS,G,Vis,17,0,52,10,13,0,0,0,5,0
230,CANDELS J033235.69-274622.6,03h32m35.6920s,-27d46m22.500s,53.14871666667,-27.77291666667,3.32778213,997643.984441175,SLS,G,"IR,Vis",25,0,60,14,17,0,0,0,5,0
231,CANDELS J033235.70-274815.4,03h32m35.7080s,-27d48m15.660s,53.14878333333,-27.80435,0.90437873,271125.922429618,SLS,G,"IR,Vis",29,0,87,12,16,0,0,0,5,0
232,CANDELS J033235.75-274809.0,03h32m35.7440s,-27d48m09.100s,53.14893333333,-27.80252777778,0.897337,269014.864884346,PUN,G,"IR,Vis",24,0,62,12,12,0,0,0,5,0
233,GMASS 0824,03h32m35.7528s,-27d46m54.984s,53.14897,-27.78194,1.90569683,571313.536868508,SLS,G,"IR,Radio,Vis",35,0,82,17,23,0,0,0,5,0
234,ASPECS 1 mm.20,03h32m35.7730s,-27d46m27.620s,53.14905416667,-27.77433888889,1.09418433,328028.209795783,SLS,G,"IR,Radio,Vis",45,0,132,19,27,0,0,0,5,0
235,CANDELS J033235.77-274706.2,03h32m35.7760s,-27d47m06.250s,53.14906666667,-27.78506944444,2.07006763,620590.663023934,SLS,G,"IR,Vis",28,0,95,12,18,0,0,0,5,0
236,CANDELS J033235.79-274734.7,03h32m35.8008s,-27d47m34.512s,53.14917,-27.79292,1.222391,366463.602527078,SUN,G,"IR,Vis,Xray",52,0,160,26,35,0,0,0,5,0
237,CANDELS J033235.80-274729.2,03h32m35.8000s,-27d47m29.250s,53.14916666667,-27.79145833333,3.55314413,1065205.81236097,SLS,G,"IR,Vis",27,0,95,18,14,0,0,0,5,0
